,,org,repo,project_name,maturity,tag,accepted_date,sandbox_date,incubating_date,graduated_date,archived_date,num_security_audits,last_security_audit_date
Eraser,https://github.com/Azure/eraser,Azure,eraser,eraser,sandbox,runtime,2023-06-30,2023-06-30,,,,0,
etcd,https://github.com/etcd-io/etcd,etcd-io,etcd,etcd,graduated,storage,2018-12-11,,2018-12-11,2020-11-24,,2,2022-03-11
External-Secrets,https://github.com/external-secrets/external-secrets,external-secrets,external-secrets,external-secrets,sandbox,security,2022-07-26,2022-07-26,,,,0,
FabEdge,https://github.com/FabEdge/fabedge,FabEdge,fabedge,fabedge,archived,network,2022-03-08,2022-03-08,,,2024-11-05,0,
Falco,https://github.com/falcosecurity/falco,falcosecurity,falco,falco,graduated,security,2018-10-10,2018-10-10,2020-01-08,2024-02-29,,2,2023-03-22
Fluentd,https://github.com/fluent/fluentd,fluent,fluentd,fluentd,graduated,observability,2016-11-08,,2016-11-08,2019-04-11,,2,2020-12-15
Fluid,https://github.com/fluid-cloudnative/fluid,fluid-cloudnative,fluid,fluid,sandbox,runtime,2021-04-28,2021-04-28,,,,0,
Flux,https://github.com/fluxcd/flux2,fluxcd,flux2,flux,graduated,app-delivery,2019-07-15,2019-07-15,2021-03-12,2022-11-30,,1,2021-11-10
Fonio,https://github.com/foniod/foniod,foniod,foniod,fonio,archived,observability,2021-03-30,2021-03-30,,,2024-01-31,0,
gRPC,https://github.com/grpc/grpc,grpc,grpc,grpc,incubating,network,2017-02-16,,2017-02-16,,,1,2019-10-29
Hami,https://github.com/hamiorg/hami,hamiorg,hami,hami,sandbox,runtime,2024-08-21,2024-08-21,,,,0,
Harbor,https://github.com/goharbor/harbor,goharbor,harbor,harbor,graduated,app-delivery,2018-07-31,2018-07-31,2018-11-14,2020-06-15,,1,2019-10-01
Headlamp,https://github.com/kinvolk/headlamp,kinvolk,headlamp,headlamp,sandbox,observability,2023-05-17,2023-05-17,,,,0,
Helm,https://github.com/helm/helm,helm,helm,helm,graduated,app-delivery,2018-06-01,,2018-06-01,2020-05-01,,2,2023-03-31
Hexa,https://github.com/hexacorn/hexacorn,hexacorn,hexacorn,hexa,sandbox,security,2022-07-26,2022-07-26,,,,0,
HwameiStor,https://github.com/hwameistor/hwameistor,hwameistor,hwameistor,hwameistor,sandbox,storage,2023-06-22,2023-06-22,,,,0,
in-toto,https://github.com/in-toto/in-toto,in-toto,in-toto,in-toto,incubating,security,2019-08-14,2019-08-14,2022-03-10,,,0,
Inclavare Containers,https://github.com/alibaba/inclavare-containers,alibaba,inclavare-containers,inclavare containers,sandbox,runtime,2021-09-14,2021-09-14,,,,0,
Inspektor Gadget,https://github.com/inspektor-gadget/inspektor-gadget,inspektor-gadget,inspektor-gadget,inspektor gadget,sandbox,observability,2023-03-07,2023-03-07,,,,0,
Istio,https://github.com/istio/istio,istio,istio,istio,graduated,network,2022-09-30,,2022-09-30,2023-07-12,,1,2023-01-30
Jaeger,https://github.com/jaegertracing/jaeger,jaegertracing,jaeger,jaeger,graduated,observability,2017-09-13,,2017-09-13,2019-10-31,,1,2019-05-04
K8gb,https://github.com/k8gb-io/k8gb,k8gb-io,k8gb,k8gb,sandbox,runtime,2021-03-30,2021-03-30,,,,0,
K8sGPT,https://github.com/k8sgpt-ai/k8sgpt,k8sgpt-ai,k8sgpt,k8sgpt,sandbox,observability,2023-12-19,2023-12-19,,,,0,
K8up,https://github.com/k8up-io/k8up,k8up-io,k8up,k8up,sandbox,storage,2021-11-16,2021-11-16,,,,0,
Kairos,https://github.com/kairos-io/kairos,kairos-io,kairos,kairos,sandbox,runtime,2024-04-13,2024-04-13,,,,0,
Kanister,https://github.com/kanisterio/kanister,kanisterio,kanister,kanister,sandbox,storage,2023-09-20,2023-09-20,,,,0,
Karmada,https://github.com/karmada-io/karmada,karmada-io,karmada,karmada,incubating,runtime,2021-09-14,2021-09-14,2023-12-12,,,0,
KCL,https://github.com/KusionStack/KCL,KusionStack,KCL,kcl,sandbox,runtime,2023-09-20,2023-09-20,,,,0,
KCP,https://github.com/kcp-dev/kcp,kcp-dev,kcp,kcp,sandbox,runtime,2023-09-19,2023-09-19,,,,0,
KEDA,https://github.com/kedacore/keda,kedacore,keda,keda,graduated,runtime,2020-03-12,2020-03-12,2021-08-18,2023-08-22,,1,2023-02-02
Kepler,https://github.com/sustainable-computing-io/kepler,sustainable-computing-io,kepler,kepler,sandbox,observability,2023-05-17,2023-05-17,,,,0,
Keptn,https://github.com/keptn/community,keptn,community,keptn,incubating,app-delivery,2020-06-25,2020-06-25,2022-07-13,,,0,
Keycloak,https://github.com/keycloak/keycloak,keycloak,keycloak,keycloak,incubating,security,2023-04-10,,2023-04-10,,,0,
Keylime,https://github.com/keylime/keylime,keylime,keylime,keylime,sandbox,security,2020-09-22,2020-09-22,,,,0,
Kmesh,https://github.com/kmesh-io/kmesh,kmesh-io,kmesh,kmesh,sandbox,network,2024-10-17,2024-10-17,,,,0,
Knative,https://github.com/knative/knative,knative,knative,knative,incubating,runtime,2022-03-02,,2022-03-02,,,2,2023-11-27
Ko,https://github.com/ko-build/ko,ko-build,ko,ko,sandbox,app-delivery,2022-12-14,2022-12-14,,,,0,
Konveyor,https://github.com/konveyor/move2kube,konveyor,move2kube,konveyor,sandbox,app-delivery,2022-07-26,2022-07-26,,,,0,
Koordinator,https://github.com/koordinator-sh/koordinator,koordinator-sh,koordinator,koordinator,sandbox,runtime,2024-04-16,2024-04-16,,,,0,
Kpt,https://github.com/GoogleContainerTools/kpt,GoogleContainerTools,kpt,kpt,sandbox,runtime,2023-06-30,2023-06-30,,,,0,
Krator,https://github.com/krator-rs/krator,krator-rs,krator,krator,archived,app-delivery,2021-07-13,2021-07-13,,,2024-01-31,0,
Krkn,https://github.com/redhat-chaos/krkn,redhat-chaos,krkn,krkn,sandbox,observability,2023-12-19,2023-12-19,,,,0,
Krustlet,https://github.com/krustlet/krustlet,krustlet,krustlet,krustlet,archived,runtime,2021-07-13,2021-07-13,,,2024-09-30,0,
Kuadrant,https://github.com/kuadrant/kuadrant,kuadrant,kuadrant,kuadrant,sandbox,network,2024-06-19,2024-06-19,,,,0,
Kuasar,https://github.com/kuasar-io/kuasar,kuasar-io,kuasar,kuasar,sandbox,runtime,2023-12-19,2023-12-19,,,,0,
Kube-Burner,https://github.com/cloud-bulldozer/kube-burner,cloud-bulldozer,kube-burner,kube-burner,sandbox,app-delivery,2023-12-18,2023-12-18,,,,0,
Kube-OVN,https://github.com/kubeovn/kube-ovn,kubeovn,kube-ovn,kube-ovn,sandbox,network,2021-01-26,2021-01-26,,,,0,
Kube-RS,https://github.com/kube-rs/kube-rs,kube-rs,kube-rs,kube-rs,sandbox,runtime,2021-11-16,2021-11-16,,,,0,
Kube-VIP,https://github.com/kube-vip/kube-vip,kube-vip,kube-vip,kube-vip,sandbox,network,2021-06-26,2021-06-26,,,,0,
Kubean,https://github.com/kubean-io/kubean,kubean-io,kubean,kubean,sandbox,runtime,2024-04-16,2024-04-16,,,,0,
Kubearmor,https://github.com/kubearmor/KubeArmor,kubearmor,KubeArmor,kubearmor,sandbox,security,2021-11-16,2021-11-16,,,,0,
Kubedl,https://github.com/kubedl-io/kubedl,kubedl-io,kubedl,kubedl,sandbox,runtime,2021-06-22,2021-06-22,,,,0,
KubeEdge,https://github.com/kubeedge/kubeedge,kubeedge,kubeedge,kubeedge,graduated,runtime,2019-03-18,2019-03-18,2020-09-16,2024-09-11,,1,2022-07-11
Kubeflow,https://github.com/kubeflow/kubeflow,kubeflow,kubeflow,kubeflow,incubating,runtime,2023-07-25,,2023-07-25,,,0,
Kuberhealthy,https://github.com/kuberhealthy/kuberhealthy,kuberhealthy,kuberhealthy,kuberhealthy,sandbox,observability,2021-03-30,2021-03-30,,,,0,
Kubernetes,https://github.com/kubernetes/kubernetes,kubernetes,kubernetes,kubernetes,graduated,runtime,2016-03-10,,2016-03-10,2018-03-06,,2,2023-04-19
Kubescape,https://github.com/kubescape/kubescape,kubescape,kubescape,kubescape,sandbox,security,2022-12-13,2022-12-13,,,,0,
Kubeslice,https://github.com/kubeslice/kubeslice,kubeslice,kubeslice,kubeslice,sandbox,runtime,2024-04-16,2024-04-16,,,,0,
Kubestellar,https://github.com/kubestellar/kubestellar,kubestellar,kubestellar,kubestellar,sandbox,runtime,2023-12-19,2023-12-19,,,,0,
KubeVela,https://github.com/kubevela/kubevela,kubevela,kubevela,kubevela,incubating,app-delivery,2021-06-22,2021-06-22,2023-02-27,,,0,
KubeVirt,https://github.com/kubevirt/kubevirt,kubevirt,kubevirt,kubevirt,incubating,app-delivery,2019-09-06,2019-09-06,2022-04-19,,,0,
Kubewarden,https://github.com/kubewarden/kubewarden,kubewarden,kubewarden,kubewarden,sandbox,security,2022-06-17,2022-06-17,,,,0,
KUDO,https://github.com/kudobuilder/kudo,kudobuilder,kudo,kudo,sandbox,app-delivery,2020-06-25,2020-06-25,,,,0,
Kuma,https://github.com/kumahq/kuma,kumahq,kuma,kuma,sandbox,network,2020-06-25,2020-06-25,,,,0,
Kured,https://github.com/weaveworks/kured,weaveworks,kured,kured,sandbox,runtime,2022-09-14,2022-09-14,,,,0,
KusionStack,https://github.com/KusionStack/kusion,KusionStack,kusion,kusionstack,sandbox,runtime,2024-09-12,2024-09-12,,,,0,
Kyverno,https://github.com/kyverno/kyverno,kyverno,kyverno,kyverno,incubating,security,2020-11-10,2020-11-10,2022-07-13,,,2,2023-11-28
Lima,https://github.com/lima-vm/lima,lima-vm,lima,lima,sandbox,runtime,2022-09-14,2022-09-14,,,,0,
Linkerd,https://github.com/linkerd/linkerd2,linkerd,linkerd2,linkerd,graduated,network,2017-01-23,2017-01-23,2018-04-06,2021-07-28,,3,2022-06-28
Litmus,https://github.com/litmuschaos/litmus,litmuschaos,litmus,litmus,incubating,observability,2020-06-25,2020-06-25,2022-01-11,,,0,
Logging Operator (Kube Logging),https://github.com/banzaicloud/logging-operator,banzaicloud,logging-operator,logging operator (kube logging),sandbox,observability,2023-09-19,2023-09-19,,,,0,
Longhorn,https://github.com/longhorn/longhorn,longhorn,longhorn,longhorn,incubating,storage,2019-10-11,2019-10-11,2021-11-04,,,0,
Loxilb,https://github.com/loxilb-io/loxilb,loxilb-io,loxilb,loxilb,sandbox,network,2024-08-30,2024-08-30,,,,0,
Merbridge,https://github.com/merbridge/merbridge,merbridge,merbridge,merbridge,sandbox,network,2022-12-14,2022-12-14,,,,0,
Meshery,https://github.com/meshery/meshery,meshery,meshery,meshery,sandbox,runtime,2021-06-22,2021-06-22,,,,0,
MetalLB,https://github.com/metallb/metallb,metallb,metallb,metallb,sandbox,network,2021-09-14,2021-09-14,,,,0,
Metal³,https://github.com/metal3-io/metal3,metal3-io,metal3,metal³,sandbox,runtime,2020-09-08,2020-09-08,,,,0,
Microcks,https://github.com/microcks/microcks,microcks,microcks,microcks,sandbox,app-delivery,2023-06-22,2023-06-22,,,,0,
NATS,https://github.com/nats-io/nats-server,nats-io,nats-server,nats,incubating,network,2018-03-15,,2018-03-15,,,1,2019-02-06
Network Service Mesh,https://github.com/networkservicemesh/networkservicemesh,networkservicemesh,networkservicemesh,network service mesh,sandbox,network,2019-04-11,2019-04-11,,,,0,
Nocalhost,https://github.com/nocalhost/nocalhost,nocalhost,nocalhost,nocalhost,sandbox,app-delivery,2021-11-16,2021-11-16,,,,0,
Notary Project,https://github.com/notaryproject/notary,notaryproject,notary,notary project,incubating,security,2017-10-24,,2017-10-24,,,2,2023-07-06
Open Cluster Management,https://github.com/open-cluster-management-io,open-cluster-management-io,,open cluster management,sandbox,runtime,2021-11-09,2021-11-09,,,,0,
Open Policy Agent (OPA),https://github.com/open-policy-agent/opa,open-policy-agent,opa,open policy agent (opa),graduated,security,2018-03-29,2018-03-29,2019-04-02,2021-01-29,,1,2018-08-30
Open Policy Containers,https://github.com/open-policy-containers,open-policy-containers,,open policy containers,sandbox,security,2022-12-13,2022-12-13,,,,0,
Open Service Mesh,https://github.com/openservicemesh/osm,openservicemesh,osm,open service mesh,archived,network,2020-09-08,2020-09-08,,,2023-06-30,0,
OpenCost,https://github.com/opencost/opencost,opencost,opencost,opencost,incubating,observability,2022-06-17,2022-06-17,2024-10-25,,,0,
OpenEBS,https://github.com/openebs/openebs,openebs,openebs,openebs,sandbox,storage,2024-10-10,2024-10-10,,,,0,
OpenELB,https://github.com/openelb/openelb,openelb,openelb,openelb,sandbox,network,2021-11-09,2021-11-09,,,,0,
OpenFeature,https://github.com/open-feature/open-feature,open-feature,open-feature,openfeature,incubating,observability,2022-06-17,2022-06-17,2023-11-21,,,0,
OpenFGA,https://github.com/openfga/openfga,openfga,openfga,openfga,sandbox,security,2022-09-14,2022-09-14,,,,0,
OpenFunction,https://github.com/OpenFunction/OpenFunction,OpenFunction,OpenFunction,openfunction,sandbox,runtime,2022-04-26,2022-04-26,,,,0,
OpenGemini,https://github.com/openGemini/openGemini,openGemini,openGemini,opengemini,sandbox,app-delivery,2024-07-09,2024-07-09,,,,0,
OpenGitOps,https://github.com/open-gitops/documents,open-gitops,documents,opengitops,sandbox,app-delivery,2021-01-26,2021-01-26,,,,0,
OpenKruise,https://github.com/openkruise/kruise,openkruise,kruise,openkruise,incubating,app-delivery,2020-11-10,2020-11-10,2023-03-02,,,0,
OpenMetrics,https://github.com/OpenObservability/OpenMetrics,OpenObservability,OpenMetrics,openmetrics,archived,observability,2018-08-10,2018-08-10,2022-02-03,,2024-07-02,0,
OpenTelemetry,https://github.com/open-telemetry/opentelemetry-specification,open-telemetry,opentelemetry-specification,opentelemetry,incubating,observability,2019-05-07,2019-05-07,2021-08-26,,,0,
OpenTracing,https://github.com/opentracing/opentracing-go,opentracing,opentracing-go,opentracing,archived,observability,2016-10-11,,2016-10-11,,2021-08-20,0,
OpenYurt,https://github.com/openyurtio/openyurt,openyurtio,openyurt,openyurt,sandbox,runtime,2020-09-08,2020-09-08,,,,0,
Operator Framework,https://github.com/operator-framework/operator-sdk,operator-framework,operator-sdk,operator framework,incubating,app-delivery,2020-07-09,,2020-07-09,,,0,
ORAS,https://github.com/oras-project/oras,oras-project,oras,oras,sandbox,storage,2021-07-13,2021-07-13,,,,0,
OSCAL-Compass,https://github.com/IBM/compliance-trestle,IBM,compliance-trestle,oscal-compass,sandbox,security,2024-06-21,2024-06-21,,,,0,
Paralus,https://github.com/paralus/paralus,paralus,paralus,paralus,sandbox,security,2022-12-14,2022-12-14,,,,0,
Parsec,https://github.com/parallaxsecond/parsec,parallaxsecond,parsec,parsec,sandbox,security,2020-06-25,2020-06-25,,,,0,
Perses,https://github.com/perses/perses,perses,perses,perses,sandbox,observability,2024-08-29,2024-08-29,,,,0,
PipeCD,https://github.com/pipe-cd/pipe,pipe-cd,pipe,pipecd,sandbox,app-delivery,2023-05-17,2023-05-17,,,,0,
Piraeus Datastore,https://github.com/piraeusdatastore/piraeus,piraeusdatastore,piraeus,piraeus datastore,sandbox,storage,2021-01-26,2021-01-26,,,,0,
Pixie,https://github.com/pixie-io/pixie,pixie-io,pixie,pixie,sandbox,observability,2021-06-22,2021-06-22,,,,0,
Porter,https://github.com/getporter/porter,getporter,porter,porter,sandbox,app-delivery,2020-09-08,2020-09-08,,,,0,
Pravega,https://github.com/pravega/pravega,pravega,pravega,pravega,sandbox,app-delivery,2020-11-10,2020-11-10,,,,0,
Prometheus,https://github.com/prometheus/prometheus,prometheus,prometheus,prometheus,graduated,observability,2016-05-09,,2016-05-09,2018-08-09,,2,2020-07-21
Radius,https://github.com/pallets/radius,pallets,radius,radius,sandbox,app-delivery,2024-04-16,2024-04-16,,,,0,
Ratify,https://github.com/deislabs/ratify,deislabs,ratify,ratify,sandbox,security,2024-08-30,2024-08-30,,,,0,
rkt,https://github.com/rkt/rkt,rkt,rkt,rkt,archived,runtime,2017-03-29,2017-03-29,,,2019-08-16,0,
Rook,https://github.com/rook/rook,rook,rook,rook,graduated,storage,2018-01-29,2018-01-29,2018-09-25,2020-10-07,,1,2019-12-01
SchemaHero,https://github.com/schemahero/schemahero,schemahero,schemahero,schemahero,sandbox,app-delivery,2020-11-10,2020-11-10,,,,0,
Score,https://github.com/score-spec/score,score-spec,score,score,sandbox,app-delivery,2024-07-08,2024-07-08,,,,0,
Sealer,https://github.com/sealerio/sealer,sealerio,sealer,sealer,sandbox,app-delivery,2022-04-26,2022-04-26,,,,0,
Sermant,https://github.com/huaweicloud/sermant,huaweicloud,sermant,sermant,sandbox,network,2024-10-09,2024-10-09,,,,0,
Serverless Devs,https://github.com/Serverless-Devs/Serverless-Devs,Serverless-Devs,Serverless-Devs,serverless devs,sandbox,runtime,2022-09-14,2022-09-14,,,,0,
Serverless Workflow,https://github.com/serverlessworkflow/specification,serverlessworkflow,specification,serverless workflow,sandbox,app-delivery,2020-07-14,2020-07-14,,,,0,
Service Mesh Interface (SMI),https://github.com/servicemeshinterface/smi-spec,servicemeshinterface,smi-spec,service mesh interface (smi),archived,network,2020-03-19,2020-03-19,,,2023-09-25,0,
Service Mesh Performance,https://github.com/service-mesh-performance/service-mesh-performance,service-mesh-performance,service-mesh-performance,service mesh performance,sandbox,network,2021-06-22,2021-06-22,,,,0,
Shipwright,https://github.com/shipwright-io/build,shipwright-io,build,shipwright,sandbox,app-delivery,2024-08-19,2024-08-19,,,,0,
Skooner,https://github.com/skooner-k8s/skooner,skooner-k8s,skooner,skooner,archived,observability,2021-01-26,2021-01-26,,,2024-10-24,0,
SlimToolkit,https://github.com/slimtoolkit/slim,slimtoolkit,slim,slimtoolkit,sandbox,security,2023-05-17,2023-05-17,,,,0,
SOPS,https://github.com/mozilla/sops,mozilla,sops,sops,sandbox,security,2023-05-17,2023-05-17,,,,0,
Spiderpool,https://github.com/spidernet-io/spiderpool,spidernet-io,spiderpool,spiderpool,sandbox,network,2023-12-19,2023-12-19,,,,0,
SPIFFE,https://github.com/spiffe/spiffe,spiffe,spiffe,spiffe,graduated,security,2018-03-29,2018-03-29,2020-06-22,2022-08-23,,0,
SPIRE,https://github.com/spiffe/spire,spiffe,spire,spire,graduated,security,2018-03-29,2018-03-29,2020-06-22,2022-08-22,,0,
Stacker,https://github.com/project-stacker/stacker,project-stacker,stacker,stacker,sandbox,app-delivery,2024-06-19,2024-06-19,,,,0,
Strimzi,https://github.com/strimzi/strimzi-kafka-operator,strimzi,strimzi-kafka-operator,strimzi,incubating,app-delivery,2019-08-28,2019-08-28,2024-02-08,,,0,
Submariner,https://github.com/submariner-io/submariner,submariner-io,submariner,submariner,sandbox,network,2021-04-28,2021-04-28,,,,0,
SuperEdge,https://github.com/superedge/superedge,superedge,superedge,superedge,sandbox,runtime,2021-09-14,2021-09-14,,,,0,
Telepresence,https://github.com/telepresenceio/telepresence,telepresenceio,telepresence,telepresence,sandbox,app-delivery,2018-05-15,2018-05-15,,,,0,
Teller,https://github.com/spectralops/teller,spectralops,teller,teller,sandbox,security,2022-04-26,2022-04-26,,,,0,
Thanos,https://github.com/thanos-io/thanos,thanos-io,thanos,thanos,incubating,observability,2019-07-14,2019-07-14,2020-08-19,,,0,
The Update Framework (TUF),https://github.com/theupdateframework/tuf,theupdateframework,tuf,the update framework (tuf),graduated,security,2017-10-24,,2017-10-24,2019-12-18,,1,2018-08-07
TiKV,https://github.com/tikv/tikv,tikv,tikv,tikv,graduated,storage,2018-08-28,,2018-08-28,2020-09-02,,1,2020-03-05
Tinkerbell,https://github.com/tinkerbell/tinkerbell,tinkerbell,tinkerbell,tinkerbell,sandbox,runtime,2020-11-10,2020-11-10,,,,0,
Tremor,https://github.com/tremor-rs/tremor-runtime,tremor-rs,tremor-runtime,tremor,sandbox,app-delivery,2020-09-08,2020-09-08,,,,0,
Trickster,https://github.com/tricksterproxy/trickster,tricksterproxy,trickster,trickster,sandbox,observability,2021-03-30,2021-03-30,,,,0,
Vineyard,https://github.com/v6d-io/v6d,v6d-io,v6d,vineyard,sandbox,storage,2021-04-28,2021-04-28,,,,0,
Virtual Kubelet,https://github.com/virtual-kubelet/virtual-kubelet,virtual-kubelet,virtual-kubelet,virtual kubelet,sandbox,runtime,2018-12-04,2018-12-04,,,,0,
Visual Studio Code Kubernetes Tools,https://github.com/Azure/vscode-kubernetes-tools,Azure,vscode-kubernetes-tools,visual studio code kubernetes tools,sandbox,app-delivery,2021-11-09,2021-11-09,,,,0,
