,,org,repo,project_name,maturity,tag,accepted_date,sandbox_date,incubating_date,graduated_date,archived_date,num_security_audits,last_security_audit_date
Aeraki Mesh,https://github.com/aeraki-mesh/aeraki,aeraki-mesh,aeraki,aeraki mesh,sandbox,network,2022-06-17,2022-06-17,,,,0,
Akri,https://github.com/project-akri/akri,project-akri,akri,akri,sandbox,runtime,2021-09-14,2021-09-14,,,,0,
Antrea,https://github.com/antrea-io/antrea,antrea-io,antrea,antrea,sandbox,network,2021-04-28,2021-04-28,,,,0,
Argo,https://github.com/argoproj/argo-cd,argoproj,argo-cd,argo,graduated,app-delivery,2020-03-26,,2020-03-26,2022-12-06,,2,2022-07-18
Armada,https://github.com/armadaproject/armada,armadaproject,armada,armada,sandbox,runtime,2022-07-25,2022-07-25,,,,0,
Artifact Hub,https://github.com/artifacthub/hub,artifacthub,hub,artifact hub,incubating,app-delivery,2020-06-25,2020-06-25,2024-05-30,,,0,
Athenz,https://github.com/AthenZ/athenz,AthenZ,athenz,athenz,sandbox,security,2021-01-26,2021-01-26,,,,0,
Atlantis,https://github.com/runatlantis/atlantis,runatlantis,atlantis,atlantis,sandbox,runtime,2024-06-18,2024-06-18,,,,0,
Backstage,https://github.com/backstage/backstage,backstage,backstage,backstage,incubating,app-delivery,2020-09-08,2020-09-08,2022-03-15,,,1,2022-08-23
Bank-Vaults,https://github.com/banzaicloud/bank-vaults,banzaicloud,bank-vaults,bank-vaults,sandbox,security,2024-06-18,2024-06-18,,,,0,
BFE,https://github.com/bfenetworks/bfe,bfenetworks,bfe,bfe,sandbox,network,2020-06-25,2020-06-25,,,,0,
BPFMan,https://github.com/kinvolk/bpfman,kinvolk,bpfman,bpfman,sandbox,security,2024-06-19,2024-06-19,,,,0,
Brigade,https://github.com/brigadecore/brigade,brigadecore,brigade,brigade,archived,app-delivery,2019-03-18,2019-03-18,,,2022-10-19,0,
Buildpacks,https://github.com/buildpacks/pack,buildpacks,pack,buildpacks,incubating,app-delivery,2018-10-03,2018-10-03,2020-11-18,,,0,
Capsule,https://github.com/clastix/capsule,clastix,capsule,capsule,sandbox,runtime,2022-12-13,2022-12-13,,,,0,
Carina,https://github.com/carina-io/carina,carina-io,carina,carina,sandbox,storage,2022-12-14,2022-12-14,,,,0,
Cartography,https://github.com/lyft/cartography,lyft,cartography,cartography,sandbox,security,2024-08-23,2024-08-23,,,,0,
Carvel,https://github.com/vmware-tanzu/carvel,vmware-tanzu,carvel,carvel,sandbox,app-delivery,2022-09-14,2022-09-14,,,,0,
CDK for Kubernetes (cdk8s),https://github.com/cdk8s-team/cdk8s,cdk8s-team,cdk8s,cdk for kubernetes (cdk8s),sandbox,runtime,2020-11-10,2020-11-10,,,,0,
Cert-Manager,https://github.com/cert-manager/cert-manager,cert-manager,cert-manager,cert-manager,graduated,security,2020-11-10,2020-11-10,2022-09-19,2024-09-29,,0,
Chaos Mesh,https://github.com/chaos-mesh/chaos-mesh,chaos-mesh,chaos-mesh,chaos mesh,incubating,observability,2020-07-14,2020-07-14,2022-02-16,,,0,
ChaosBlade,https://github.com/chaosblade-io/chaosblade,chaosblade-io,chaosblade,chaosblade,sandbox,observability,2021-04-28,2021-04-28,,,,0,
Cilium,https://github.com/cilium/cilium,cilium,cilium,cilium,graduated,network,2021-10-13,,2021-10-13,2023-10-11,,2,2023-02-13
Cloud Custodian,https://github.com/cloud-custodian/cloud-custodian,cloud-custodian,cloud-custodian,cloud custodian,incubating,runtime,2020-06-25,2020-06-25,2022-09-14,,,1,2024-04-19
CloudEvents,https://github.com/cloudevents/spec,cloudevents,spec,cloudevents,graduated,app-delivery,2018-05-15,2018-05-15,2019-10-24,2024-01-25,,1,2022-11-28
Clusternet,https://github.com/clusternet/clusternet,clusternet,clusternet,clusternet,sandbox,runtime,2023-03-07,2023-03-07,,,,0,
Clusterpedia,https://github.com/clusterpedia-io/clusterpedia,clusterpedia-io,clusterpedia,clusterpedia,sandbox,runtime,2022-06-17,2022-06-17,,,,0,
CNI-Genie,https://github.com/Huawei-PaaS/CNI-Genie,Huawei-PaaS,CNI-Genie,cni-genie,sandbox,network,2020-06-25,2020-06-25,,,,0,
Confidential Containers,https://github.com/confidential-containers/documentation,confidential-containers,documentation,confidential containers,sandbox,security,2022-03-08,2022-03-08,,,,0,
Connect RPC,https://github.com/bufbuild/connect-rpc,bufbuild,connect-rpc,connect rpc,sandbox,network,2024-04-13,2024-04-13,,,,0,
Container Network Interface (CNI),https://github.com/containernetworking/cni,containernetworking,cni,container network interface (cni),incubating,network,2017-05-23,,2017-05-23,,,0,
containerd,https://github.com/containerd/containerd,containerd,containerd,containerd,graduated,runtime,2017-03-29,,2017-03-29,2019-02-28,,1,2023-03-02
ContainerSSH,https://github.com/ContainerSSH/ContainerSSH,ContainerSSH,ContainerSSH,containerssh,sandbox,security,2022-09-14,2022-09-14,,,,0,
Contour,https://github.com/projectcontour/contour,projectcontour,contour,contour,incubating,network,2020-07-07,,2020-07-07,,,1,2021-12-01
Copa,https://github.com/copa/copa,copa,copa,copa,sandbox,security,2023-09-19,2023-09-19,,,,0,
CoreDNS,https://github.com/coredns/coredns,coredns,coredns,coredns,graduated,network,2017-02-27,2017-02-27,2018-02-26,2019-01-24,,1,2018-02-03
Cortex,https://github.com/cortexproject/cortex,cortexproject,cortex,cortex,incubating,observability,2018-09-20,2018-09-20,2020-08-20,,,0,
CRI-O,https://github.com/cri-o/cri-o,cri-o,cri-o,cri-o,graduated,runtime,2019-04-08,,2019-04-08,2023-07-19,,1,2022-06-06
Crossplane,https://github.com/crossplane/crossplane,crossplane,crossplane,crossplane,incubating,runtime,2020-06-25,2020-06-25,2021-09-14,,,2,2023-07-27
CubeFS,https://github.com/cubefs/cubefs,cubefs,cubefs,cubefs,incubating,storage,2019-12-16,2019-12-16,2022-07-03,,,0,
Curiefense,https://github.com/curiefense/curiefense,curiefense,curiefense,curiefense,archived,security,2021-01-26,2021-01-26,,,2024-06-28,0,
Curve,https://github.com/opencurve/curve,opencurve,curve,curve,archived,storage,2022-06-17,2022-06-17,,,2024-10-26,0,
Dapr,https://github.com/dapr/dapr,dapr,dapr,dapr,graduated,app-delivery,2021-11-09,,2021-11-09,2024-10-30,,2,2023-09-05
Devfile,https://github.com/devfile/api,devfile,api,devfile,sandbox,app-delivery,2022-01-11,2022-01-11,,,,0,
DevSpace,https://github.com/devspace-sh/devspace,devspace-sh,devspace,devspace,sandbox,app-delivery,2022-12-13,2022-12-13,,,,0,
DevStream,https://github.com/devstream-io/devstream,devstream-io,devstream,devstream,sandbox,runtime,2022-06-17,2022-06-17,,,,0,
Dex,https://github.com/dexidp/dex,dexidp,dex,dex,sandbox,security,2020-06-25,2020-06-25,,,,0,
Distribution,https://github.com/distribution/distribution,distribution,distribution,distribution,sandbox,runtime,2021-01-26,2021-01-26,,,,0,
Dragonfly,https://github.com/dragonflyoss/Dragonfly2,dragonflyoss,Dragonfly2,dragonfly,incubating,runtime,2018-11-13,2018-11-13,2020-04-09,,,0,
Easegress,https://github.com/megaease/easegress,megaease,easegress,easegress,sandbox,network,2023-12-19,2023-12-19,,,,0,
Emissary-Ingress,https://github.com/emissary-ingress/emissary,emissary-ingress,emissary,emissary-ingress,incubating,network,2021-04-13,,2021-04-13,,,0,
Envoy,https://github.com/envoyproxy/envoy,envoyproxy,envoy,envoy,graduated,network,2017-09-13,,2017-09-13,2018-11-28,,2,2021-05-15
