project_name,maturity,tag,accepted_date,sandbox_date,incubating_date,graduated_date,archived_date,num_security_audits,last_security_audit_date
containerssh,sandbox,security,2022-09-14,2022-09-14,,,,0,
contour,incubating,network,2020-07-07,,2020-07-07,,,1,2021-12-01
copa,sandbox,security,2023-09-19,2023-09-19,,,,0,
coredns,graduated,network,2017-02-27,2017-02-27,2018-02-26,2019-01-24,,1,2018-02-03
cortex,incubating,observability,2018-09-20,2018-09-20,2020-08-20,,,0,
cri-o,graduated,runtime,2019-04-08,,2019-04-08,2023-07-19,,1,2022-06-06
crossplane,incubating,runtime,2020-06-25,2020-06-25,2021-09-14,,,2,2023-07-27
cubefs,incubating,storage,2019-12-16,2019-12-16,2022-07-03,,,0,
curiefense,archived,security,2021-01-26,2021-01-26,,,2024-06-28,0,
curve,archived,storage,2022-06-17,2022-06-17,,,2024-10-26,0,
dapr,graduated,app-delivery,2021-11-09,,2021-11-09,2024-10-30,,2,2023-09-05
devfile,sandbox,app-delivery,2022-01-11,2022-01-11,,,,0,
devspace,sandbox,app-delivery,2022-12-13,2022-12-13,,,,0,
devstream,sandbox,runtime,2022-06-17,2022-06-17,,,,0,
dex,sandbox,security,2020-06-25,2020-06-25,,,,0,
distribution,sandbox,runtime,2021-01-26,2021-01-26,,,,0,
dragonfly,incubating,runtime,2018-11-13,2018-11-13,2020-04-09,,,0,
easegress,sandbox,network,2023-12-19,2023-12-19,,,,0,
emissary-ingress,incubating,network,2021-04-13,,2021-04-13,,,0,
envoy,graduated,network,2017-09-13,,2017-09-13,2018-11-28,,2,2021-05-15
eraser,sandbox,runtime,2023-06-30,2023-06-30,,,,0,
etcd,graduated,storage,2018-12-11,,2018-12-11,2020-11-24,,2,2022-03-11
external-secrets,sandbox,security,2022-07-26,2022-07-26,,,,0,
fabedge,archived,network,2022-03-08,2022-03-08,,,2024-11-05,0,
falco,graduated,security,2018-10-10,2018-10-10,2020-01-08,2024-02-29,,2,2023-03-22
fluentd,graduated,observability,2016-11-08,,2016-11-08,2019-04-11,,2,2020-12-15
fluid,sandbox,runtime,2021-04-28,2021-04-28,,,,0,
flux,graduated,app-delivery,2019-07-15,2019-07-15,2021-03-12,2022-11-30,,1,2021-11-10
fonio,archived,observability,2021-03-30,2021-03-30,,,2024-01-31,0,
grpc,incubating,network,2017-02-16,,2017-02-16,,,1,2019-10-29
hami,sandbox,runtime,2024-08-21,2024-08-21,,,,0,
harbor,graduated,app-delivery,2018-07-31,2018-07-31,2018-11-14,2020-06-15,,1,2019-10-01
headlamp,sandbox,observability,2023-05-17,2023-05-17,,,,0,
helm,graduated,app-delivery,2018-06-01,,2018-06-01,2020-05-01,,2,2023-03-31
hexa,sandbox,security,2022-07-26,2022-07-26,,,,0,
hwameistor,sandbox,storage,2023-06-22,2023-06-22,,,,0,
in-toto,incubating,security,2019-08-14,2019-08-14,2022-03-10,,,0,
inclavare containers,sandbox,runtime,2021-09-14,2021-09-14,,,,0,
inspektor gadget,sandbox,observability,2023-03-07,2023-03-07,,,,0,
istio,graduated,network,2022-09-30,,2022-09-30,2023-07-12,,1,2023-01-30
jaeger,graduated,observability,2017-09-13,,2017-09-13,2019-10-31,,1,2019-05-04
k8gb,sandbox,runtime,2021-03-30,2021-03-30,,,,0,
k8sgpt,sandbox,observability,2023-12-19,2023-12-19,,,,0,
k8up,sandbox,storage,2021-11-16,2021-11-16,,,,0,
kairos,sandbox,runtime,2024-04-13,2024-04-13,,,,0,
kanister,sandbox,storage,2023-09-20,2023-09-20,,,,0,
karmada,incubating,runtime,2021-09-14,2021-09-14,2023-12-12,,,0,
kcl,sandbox,runtime,2023-09-20,2023-09-20,,,,0,
kcp,sandbox,runtime,2023-09-19,2023-09-19,,,,0,
keda,graduated,runtime,2020-03-12,2020-03-12,2021-08-18,2023-08-22,,1,2023-02-02
kepler,sandbox,observability,2023-05-17,2023-05-17,,,,0,
keptn,incubating,app-delivery,2020-06-25,2020-06-25,2022-07-13,,,0,
keycloak,incubating,security,2023-04-10,,2023-04-10,,,0,
keylime,sandbox,security,2020-09-22,2020-09-22,,,,0,
kmesh,sandbox,network,2024-10-17,2024-10-17,,,,0,
knative,incubating,runtime,2022-03-02,,2022-03-02,,,2,2023-11-27
ko,sandbox,app-delivery,2022-12-14,2022-12-14,,,,0,
konveyor,sandbox,app-delivery,2022-07-26,2022-07-26,,,,0,
koordinator,sandbox,runtime,2024-04-16,2024-04-16,,,,0,
kpt,sandbox,runtime,2023-06-30,2023-06-30,,,,0,
krator,archived,app-delivery,2021-07-13,2021-07-13,,,2024-01-31,0,
krkn,sandbox,observability,2023-12-19,2023-12-19,,,,0,
krustlet,archived,runtime,2021-07-13,2021-07-13,,,2024-09-30,0,
kuadrant,sandbox,network,2024-06-19,2024-06-19,,,,0,
kuasar,sandbox,runtime,2023-12-19,2023-12-19,,,,0,
kube-burner,sandbox,app-delivery,2023-12-18,2023-12-18,,,,0,
kube-ovn,sandbox,network,2021-01-26,2021-01-26,,,,0,
kube-rs,sandbox,runtime,2021-11-16,2021-11-16,,,,0,
kube-vip,sandbox,network,2021-06-26,2021-06-26,,,,0,
kubean,sandbox,runtime,2024-04-16,2024-04-16,,,,0,
kubearmor,sandbox,security,2021-11-16,2021-11-16,,,,0,
kubedl,sandbox,runtime,2021-06-22,2021-06-22,,,,0,
kubeedge,graduated,runtime,2019-03-18,2019-03-18,2020-09-16,2024-09-11,,1,2022-07-11
kubeflow,incubating,runtime,2023-07-25,,2023-07-25,,,0,
kuberhealthy,sandbox,observability,2021-03-30,2021-03-30,,,,0,
kubernetes,graduated,runtime,2016-03-10,,2016-03-10,2018-03-06,,2,2023-04-19
kubescape,sandbox,security,2022-12-13,2022-12-13,,,,0,
kubeslice,sandbox,runtime,2024-04-16,2024-04-16,,,,0,
kubestellar,sandbox,runtime,2023-12-19,2023-12-19,,,,0,
kubevela,incubating,app-delivery,2021-06-22,2021-06-22,2023-02-27,,,0,
kubevirt,incubating,app-delivery,2019-09-06,2019-09-06,2022-04-19,,,0,
kubewarden,sandbox,security,2022-06-17,2022-06-17,,,,0,
kudo,sandbox,app-delivery,2020-06-25,2020-06-25,,,,0,
kuma,sandbox,network,2020-06-25,2020-06-25,,,,0,
kured,sandbox,runtime,2022-09-14,2022-09-14,,,,0,
kusionstack,sandbox,runtime,2024-09-12,2024-09-12,,,,0,
kyverno,incubating,security,2020-11-10,2020-11-10,2022-07-13,,,2,2023-11-28
lima,sandbox,runtime,2022-09-14,2022-09-14,,,,0,
linkerd,graduated,network,2017-01-23,2017-01-23,2018-04-06,2021-07-28,,3,2022-06-28
litmus,incubating,observability,2020-06-25,2020-06-25,2022-01-11,,,0,
logging operator (kube logging),sandbox,observability,2023-09-19,2023-09-19,,,,0,
longhorn,incubating,storage,2019-10-11,2019-10-11,2021-11-04,,,0,
loxilb,sandbox,network,2024-08-30,2024-08-30,,,,0,
merbridge,sandbox,network,2022-12-14,2022-12-14,,,,0,
meshery,sandbox,runtime,2021-06-22,2021-06-22,,,,0,
metallb,sandbox,network,2021-09-14,2021-09-14,,,,0,
metal³,sandbox,runtime,2020-09-08,2020-09-08,,,,0,
microcks,sandbox,app-delivery,2023-06-22,2023-06-22,,,,0,
nats,incubating,network,2018-03-15,,2018-03-15,,,1,2019-02-06
network service mesh,sandbox,network,2019-04-11,2019-04-11,,,,0,
nocalhost,sandbox,app-delivery,2021-11-16,2021-11-16,,,,0,
notary project,incubating,security,2017-10-24,,2017-10-24,,,2,2023-07-06
open cluster management,sandbox,runtime,2021-11-09,2021-11-09,,,,0,
open policy agent (opa),graduated,security,2018-03-29,2018-03-29,2019-04-02,2021-01-29,,1,2018-08-30
open policy containers,sandbox,security,2022-12-13,2022-12-13,,,,0,
open service mesh,archived,network,2020-09-08,2020-09-08,,,2023-06-30,0,
opencost,incubating,observability,2022-06-17,2022-06-17,2024-10-25,,,0,
openebs,sandbox,storage,2024-10-10,2024-10-10,,,,0,
openelb,sandbox,network,2021-11-09,2021-11-09,,,,0,
openfeature,incubating,observability,2022-06-17,2022-06-17,2023-11-21,,,0,
openfga,sandbox,security,2022-09-14,2022-09-14,,,,0,
openfunction,sandbox,runtime,2022-04-26,2022-04-26,,,,0,
opengemini,sandbox,app-delivery,2024-07-09,2024-07-09,,,,0,
opengitops,sandbox,app-delivery,2021-01-26,2021-01-26,,,,0,
openkruise,incubating,app-delivery,2020-11-10,2020-11-10,2023-03-02,,,0,
openmetrics,archived,observability,2018-08-10,2018-08-10,2022-02-03,,2024-07-02,0,
opentelemetry,incubating,observability,2019-05-07,2019-05-07,2021-08-26,,,0,
opentracing,archived,observability,2016-10-11,,2016-10-11,,2021-08-20,0,
openyurt,sandbox,runtime,2020-09-08,2020-09-08,,,,0,
operator framework,incubating,app-delivery,2020-07-09,,2020-07-09,,,0,
oras,sandbox,storage,2021-07-13,2021-07-13,,,,0,
oscal-compass,sandbox,security,2024-06-21,2024-06-21,,,,0,
paralus,sandbox,security,2022-12-14,2022-12-14,,,,0,
parsec,sandbox,security,2020-06-25,2020-06-25,,,,0,
perses,sandbox,observability,2024-08-29,2024-08-29,,,,0,
pipecd,sandbox,app-delivery,2023-05-17,2023-05-17,,,,0,
piraeus datastore,sandbox,storage,2021-01-26,2021-01-26,,,,0,
pixie,sandbox,observability,2021-06-22,2021-06-22,,,,0,
porter,sandbox,app-delivery,2020-09-08,2020-09-08,,,,0,
pravega,sandbox,app-delivery,2020-11-10,2020-11-10,,,,0,
prometheus,graduated,observability,2016-05-09,,2016-05-09,2018-08-09,,2,2020-07-21
radius,sandbox,app-delivery,2024-04-16,2024-04-16,,,,0,
ratify,sandbox,security,2024-08-30,2024-08-30,,,,0,
rkt,archived,runtime,2017-03-29,2017-03-29,,,2019-08-16,0,
rook,graduated,storage,2018-01-29,2018-01-29,2018-09-25,2020-10-07,,1,2019-12-01
schemahero,sandbox,app-delivery,2020-11-10,2020-11-10,,,,0,
score,sandbox,app-delivery,2024-07-08,2024-07-08,,,,0,
sealer,sandbox,app-delivery,2022-04-26,2022-04-26,,,,0,
sermant,sandbox,network,2024-10-09,2024-10-09,,,,0,
serverless devs,sandbox,runtime,2022-09-14,2022-09-14,,,,0,
serverless workflow,sandbox,app-delivery,2020-07-14,2020-07-14,,,,0,
service mesh interface (smi),archived,network,2020-03-19,2020-03-19,,,2023-09-25,0,
service mesh performance,sandbox,network,2021-06-22,2021-06-22,,,,0,
shipwright,sandbox,app-delivery,2024-08-19,2024-08-19,,,,0,
skooner,archived,observability,2021-01-26,2021-01-26,,,2024-10-24,0,
slimtoolkit,sandbox,security,2023-05-17,2023-05-17,,,,0,
sops,sandbox,security,2023-05-17,2023-05-17,,,,0,
spiderpool,sandbox,network,2023-12-19,2023-12-19,,,,0,
spiffe,graduated,security,2018-03-29,2018-03-29,2020-06-22,2022-08-23,,0,
spire,graduated,security,2018-03-29,2018-03-29,2020-06-22,2022-08-22,,0,
stacker,sandbox,app-delivery,2024-06-19,2024-06-19,,,,0,
strimzi,incubating,app-delivery,2019-08-28,2019-08-28,2024-02-08,,,0,
submariner,sandbox,network,2021-04-28,2021-04-28,,,,0,
superedge,sandbox,runtime,2021-09-14,2021-09-14,,,,0,
telepresence,sandbox,app-delivery,2018-05-15,2018-05-15,,,,0,
teller,sandbox,security,2022-04-26,2022-04-26,,,,0,
thanos,incubating,observability,2019-07-14,2019-07-14,2020-08-19,,,0,
the update framework (tuf),graduated,security,2017-10-24,,2017-10-24,2019-12-18,,1,2018-08-07
tikv,graduated,storage,2018-08-28,,2018-08-28,2020-09-02,,1,2020-03-05
tinkerbell,sandbox,runtime,2020-11-10,2020-11-10,,,,0,
tremor,sandbox,app-delivery,2020-09-08,2020-09-08,,,,0,
trickster,sandbox,observability,2021-03-30,2021-03-30,,,,0,
vineyard,sandbox,storage,2021-04-28,2021-04-28,,,,0,
virtual kubelet,sandbox,runtime,2018-12-04,2018-12-04,,,,0,
visual studio code kubernetes tools,sandbox,app-delivery,2021-11-09,2021-11-09,,,,0,
vitess,graduated,storage,2018-02-05,,2018-02-05,2019-11-05,,3,2023-06-05
volcano,incubating,runtime,2020-04-09,2020-04-09,2022-03-21,,,0,
wasmcloud,incubating,runtime,2021-07-13,2021-07-13,2024-11-08,,,0,
wasmedge runtime,sandbox,runtime,2021-04-28,2021-04-28,,,,0,
werf,sandbox,app-delivery,2022-12-13,2022-12-13,,,,0,
xline,sandbox,runtime,2023-06-30,2023-06-30,,,,0,
youki,sandbox,runtime,2024-10-17,2024-10-17,,,,0,
zot,sandbox,runtime,2022-12-13,2022-12-13,,,,0,
