project_name,maturity,tag,accepted_date,sandbox_date,incubating_date,graduated_date,archived_date,num_security_audits,last_security_audit_date
aeraki mesh,sandbox,network,2022-06-17,2022-06-17,,,,0,
akri,sandbox,runtime,2021-09-14,2021-09-14,,,,0,
antrea,sandbox,network,2021-04-28,2021-04-28,,,,0,
argo,graduated,app-delivery,2020-03-26,,2020-03-26,2022-12-06,,2,2022-07-18
armada,sandbox,runtime,2022-07-25,2022-07-25,,,,0,
artifact hub,incubating,app-delivery,2020-06-25,2020-06-25,2024-05-30,,,0,
athenz,sandbox,security,2021-01-26,2021-01-26,,,,0,
atlantis,sandbox,runtime,2024-06-18,2024-06-18,,,,0,
backstage,incubating,app-delivery,2020-09-08,2020-09-08,2022-03-15,,,1,2022-08-23
bank-vaults,sandbox,security,2024-06-18,2024-06-18,,,,0,
bfe,sandbox,network,2020-06-25,2020-06-25,,,,0,
bpfman,sandbox,security,2024-06-19,2024-06-19,,,,0,
brigade,archived,app-delivery,2019-03-18,2019-03-18,,,2022-10-19,0,
buildpacks,incubating,app-delivery,2018-10-03,2018-10-03,2020-11-18,,,0,
capsule,sandbox,runtime,2022-12-13,2022-12-13,,,,0,
carina,sandbox,storage,2022-12-14,2022-12-14,,,,0,
cartography,sandbox,security,2024-08-23,2024-08-23,,,,0,
carvel,sandbox,app-delivery,2022-09-14,2022-09-14,,,,0,
cdk for kubernetes (cdk8s),sandbox,runtime,2020-11-10,2020-11-10,,,,0,
cert-manager,graduated,security,2020-11-10,2020-11-10,2022-09-19,2024-09-29,,0,
chaos mesh,incubating,observability,2020-07-14,2020-07-14,2022-02-16,,,0,
chaosblade,sandbox,observability,2021-04-28,2021-04-28,,,,0,
cilium,graduated,network,2021-10-13,,2021-10-13,2023-10-11,,2,2023-02-13
cloud custodian,incubating,runtime,2020-06-25,2020-06-25,2022-09-14,,,1,2024-04-19
cloudevents,graduated,app-delivery,2018-05-15,2018-05-15,2019-10-24,2024-01-25,,1,2022-11-28
clusternet,sandbox,runtime,2023-03-07,2023-03-07,,,,0,
clusterpedia,sandbox,runtime,2022-06-17,2022-06-17,,,,0,
cni-genie,sandbox,network,2020-06-25,2020-06-25,,,,0,
confidential containers,sandbox,security,2022-03-08,2022-03-08,,,,0,
connect rpc,sandbox,network,2024-04-13,2024-04-13,,,,0,
container network interface (cni),incubating,network,2017-05-23,,2017-05-23,,,0,
containerd,graduated,runtime,2017-03-29,,2017-03-29,2019-02-28,,1,2023-03-02
